"id","name","section","name_updated"
7,Protection of children from sexual offence act 2012,"4","Protection of Children from Sexual Offences Act, 2012"
8,"Child Marriage Restraint Act, 1929","9","Child Marriage Restraint Act, 1929"
16,"Child Marriage Restraint Act, 1929","3","Child Marriage Restraint Act, 1929"
17,"Child Marriage Restraint Act, 1929","4","Child Marriage Restraint Act, 1929"
18,"Child Marriage Restraint Act, 1929","5","Child Marriage Restraint Act, 1929"
19,"Child Marriage Restraint Act, 1929","6","Child Marriage Restraint Act, 1929"
21,Protection of children from sexual offence act 2012,"6","Protection of Children from Sexual Offences Act, 2012"
23,"Child Marriage Restraint Act, 1929","10","Child Marriage Restraint Act, 1929"
5694,Child Labor Act 1986,"70","Child Labour (Prohibition & Regulation) Act, 1986"
5696,Child Labor Act 1986,"95","Child Labour (Prohibition & Regulation) Act, 1986"
5699,Child Labor Act 1986,"47-A","Child Labour (Prohibition & Regulation) Act, 1986"
5708,Child Labor Act 1986,"188","Child Labour (Prohibition & Regulation) Act, 1986"
5710,Army Act,"27","The Army Act, 1950"
5722,Child Labor Act 1986,"182","Child Labour (Prohibition & Regulation) Act, 1986"
5730,Child Labor Act 1986,"146","Child Labour (Prohibition & Regulation) Act, 1986"
5731,Child Labor Act 1986,"196","Child Labour (Prohibition & Regulation) Act, 1986"
5732,Child Labor Act 1986,"180","Child Labour (Prohibition & Regulation) Act, 1986"
5733,Child Labor Act 1986,"3/4","Child Labour (Prohibition & Regulation) Act, 1986"
5744,Indian Penal Code,"468.","Indian Penal Code (IPC), 1860"
5745,Child Labor Act 1986,"2012","Child Labour (Prohibition & Regulation) Act, 1986"
228,HINDU ADOPTIONS AND MAINTENANCE ACT,"18",
229,CODE OF CIVIL PROCEDURE,SuitforDeclaration,
238,POCSO,"4","Protection of Children from Sexual Offences Act, 2012"
240,POCSO,"10","Protection of Children from Sexual Offences Act, 2012"
241,POCSO,"21","Protection of Children from Sexual Offences Act, 2012"
249,Code of Criminal Procedure,"97","Code of Criminal Procedure, 1973"
253,POCSO,"6","Protection of Children from Sexual Offences Act, 2012"
254,POCSO,"17","Protection of Children from Sexual Offences Act, 2012"
257,Protection of Child sexual Offence Act,"4","Protection of Children from Sexual Offences Act, 2012"
258,Protection of Child sexual Offence Act,"6/17","Protection of Children from Sexual Offences Act, 2012"
260,Protection of Child sexual Offence Act,"6","Protection of Children from Sexual Offences Act, 2012"
262,Protection of Child sexual Offence Act,"8","Protection of Children from Sexual Offences Act, 2012"
284,Protection of Children from Sexual Offences (POCSO),"4","Protection of Children from Sexual Offences Act, 2012"
287,Protection of Children from Sexual offence  Act POCSO2013,"4","Protection of Children from Sexual Offences Act, 2012"
295,Protection of Children From Sexual Offence Act 2012,"4","Protection of Children from Sexual Offences Act, 2012"
2233,Prevention Of Public Property Act,"3",
326,PROHIBITION OF CHILD MARRIAGE ACT,"10","The Prohibition of Child Marriage Act, 2006"
328,Protection of Childern Sexual Offence Act 2012,"6","Protection of Children from Sexual Offences Act, 2012"
329,Cr.P.c,"439","Code of Criminal Procedure, 1973"
335,PROHIBITION OF CHILD MARRIAGE ACT,"0","The Prohibition of Child Marriage Act, 2006"
336,Cr.P.c,"437","Code of Criminal Procedure, 1973"
337,PROHIBITION OF CHILD MARRIAGE ACT,"3","The Prohibition of Child Marriage Act, 2006"
338,PROHIBITION OF CHILD MARRIAGE ACT,"4","The Prohibition of Child Marriage Act, 2006"
340,Cr.P.c,"438","Code of Criminal Procedure, 1973"
346,Protection of children from sexual offence act 2012,"17","Protection of Children from Sexual Offences Act, 2012"
359,Protection of Children from Sexual Offence,"6","Protection of Children from Sexual Offences Act, 2012"
407,PROHIBITION OF CHILD MARRIAGE ACT,"12","The Prohibition of Child Marriage Act, 2006"
408,Maharashtra Government Premises (Eviction) Act,"4","Maharashtra Government Premises (Eviction) Act, 1956"
409,Maharashtra Government Premises (Eviction) Act,"5(L)","Maharashtra Government Premises (Eviction) Act, 1956"
410,Maharashtra Government Premises (Eviction) Act,"6","Maharashtra Government Premises (Eviction) Act, 1956"
13129,Child Labour (Prohibition and Regulation) Rules,"14 (1 A)","Child Labour (Prohibition & Regulation) Act, 1986"
6941,Child Labor Act 1986,"14 (1)","Child Labour (Prohibition & Regulation) Act, 1986"
12200,CHILD LABOUR (PROHIBITION AND REGULATION) ACT,"14 (1)","Child Labour (Prohibition & Regulation) Act, 1986"
3269,Child Labour Act,"14 (1)","Child Labour (Prohibition & Regulation) Act, 1986"
7323,Child Labor Act 1986,"14 (1)","Child Labour (Prohibition & Regulation) Act, 1986"
10600,"CHILD LABOUR (PROHIBITION & REGULATION) ACT,1986","14 (1)","Child Labour (Prohibition & Regulation) Act, 1986"
3243,Child Labour (Prohibition and Regulation) Act,"14 (1)","Child Labour (Prohibition & Regulation) Act, 1986"
122,Protection of children from sexual offence act 2012,"5 (2)","Protection of Children from Sexual Offences Act, 2012"
158,"Child Marriage Restraint Act, 1929","19","Child Marriage Restraint Act, 1929"
187,Medical Termination of Pregnancy Act 1971,"3","The Medical Termination of Pregnancy Act, 1971"
188,Medical Termination of Pregnancy Act 1971,"4","The Medical Termination of Pregnancy Act, 1971"
189,PROHIBITION OF CHILD MARRIAGE ACT,"6","The Prohibition of Child Marriage Act, 2006"
196,POCSO Act 2012,"4","Protection of Children from Sexual Offences Act, 2012"
197,Child Marriage Protection Act,"9","The Prohibition of Child Marriage Act, 2006"
205,Specific Relief Act,"34","Specific Relief Act, 1963"
206,Child Marriage Restraint Act,"3","Child Marriage Restraint Act, 1929"
207,Family Courts Act,"7 & 8","Family Courts Act, 1984"
213,Child Marriage Restraint Act,"12","Child Marriage Restraint Act, 1929"
13155,CHILDREN ACT,"79",CHILDREN ACT
173,CODE OF CIVIL PROCEDURE,SuitforPerpetualInjunction,
11975,"Foodgrain Procurement Order,1966 June 1966(Bihar)",---,"Foodgrain Procurement Order,1966 June 1966(Bihar)"
12268,Inter,"4",Inter
12269,Inter,"8",Inter
12270,Inter,"27",Inter
12272,Inter,"23",Inter
12790,Inter,"25.26",Inter
12794,Inter,"14",Inter
12795,Inter,"16",Inter
12821,Inter,"25-26",Inter
